MENU_ID,USER_AKSES,VIEW,ADD,EDIT,DELETE,APPROVE,PRINT,INPUT_BY,INPUT_DATE
1,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
2,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
2.1,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
2.2,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
2.2.1,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
2.2.2,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
2.2.3,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
2.3,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
2.4,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
3,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
3.1,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
3.2,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
3.2.1,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
3.2.2,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
3.2.3,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
3.3,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
3.3.1,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
3.3.2,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
3.3.3,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
3.3.4,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
4,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
4.1,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
4.2,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
4.2.1,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
4.2.2,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
4.2.3,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
4.3,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
4.3.1,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
4.3.2,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
4.3.3,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
4.4,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
5,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
5.1,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
5.1.1,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
5.1.2,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
5.1.3,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
5.2,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
5.3,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
5.4,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
5.5,Administrator,Y,Y,Y,Y,Y,Y,SYSTEM,2023-12-16 08:26
